"","trait_cont1","trait_cont2","trait_cont3","trait_cont4","trait_cont5","trait_cont6","trait_cont7","trait_cont8","trait_cont9","trait_cont10","trait_cat11","trait_cat12","trait_cat13","trait_cat14","trait_cat15","trait_ord16","trait_ord17","trait_bin18","trait_bin19","trait_ord20"
"inv1",0.956452857,-0.333145577,0.35455366,-0.82877587,0.074753391,0.557618997,-0.606011024,0.063748873,0.608786625,0.099240827,"forest","nocturnal","multivoltine","detritivore","migratory",4,4,1,0,"large"
"inv2",0.283491038,0.370339459,0.519088535,0.291263757,0.673603119,-0.772562782,0.725259554,-0.741821433,-0.372632356,0.429707387,"forest","nocturnal","univoltine","detritivore","migratory",4,3,0,0,"small"
"inv3",0.829612087,0.475191236,0.028815417,0.479710558,0.673603119,-0.728572406,0.070473221,-0.424500496,-0.385891199,0.738515641,"wetland","nocturnal","bivoltine","nectarivore","migratory",3,4,1,0,"medium"
"inv4",-0.835124884,-0.306503504,0.163208005,-0.684189584,0.4489952,-0.941828362,-0.481478848,-0.115350722,0.094852156,0.237903094,"grassland","nocturnal","multivoltine","generalist","migratory",4,4,1,1,"medium"
"inv5",0.410129568,0.622110283,-0.657471339,0.334853029,-0.21005391,-0.351828095,-0.366049524,-0.893741033,-0.681955236,0.429707387,"grassland","diurnal","bivoltine","nectarivore","resident",2,2,0,1,"medium"
"inv6",0.660895252,-0.240881519,-0.477824072,0.884911384,-0.286556001,0.551650085,-0.606011024,-0.742255677,-0.020018859,-0.70084201,"wetland","diurnal","univoltine","generalist","migratory",3,5,0,1,"large"
"inv7",-0.765025277,0.775509811,-0.457426771,-0.999522207,0.503045125,0.869645908,0.484532904,0.034222111,-0.157243156,-0.7793298,"forest","nocturnal","multivoltine","generalist","resident",2,4,1,0,"large"
"inv8",0.028423569,-0.203029177,-0.477824072,0.468188602,0.673603119,0.557618997,-0.365893296,0.486375439,-0.508651705,-0.331537347,"forest","diurnal","bivoltine","detritivore","resident",3,3,1,1,"small"
"inv9",0.956452857,-0.136497502,-0.041202872,-0.566865378,-0.995454068,-0.703106787,0.586382418,-0.775383517,-0.020018859,-0.729539002,"grassland","diurnal","bivoltine","nectarivore","migratory",1,2,0,1,"medium"
"inv10",-0.075414355,-0.12845683,0.497590772,0.479710558,0.20694817,-0.703106787,-0.176255858,0.770235374,0.739866539,-0.331537347,"wetland","diurnal","multivoltine","detritivore","resident",1,3,0,1,"medium"
